# QUALITY=CLEAN | XAU ~ const+be+slope+log_nfa | Kalman TVP δ=0.995 | IC4w=0.1702 IC8w=0.2479 hit8w=0.5235 | var_ratio=2.402 HL=267.9w | cot_as_of=20260623 | generated by metals_fairvalue_g8.py v3
DATE,PX,FAIR,RESID,MDP_Z,MDP_ADJ,RISK_W,COT_MULT,SIGNAL,B_CONST,B_BE,B_SLOPE,B_LOG_NFA
20091117,1139.4,3932.3823,-1.238786,,,0.1998,1.0,,-76.986,0.610556,0.001927,5.010492
20091124,1165.8,3927.2349,-1.21457,,,0.1998,1.0,,-76.619105,0.608108,0.002335,4.987919
20091201,1200.2,4163.7112,-1.24396,,,0.1998,1.0,,-76.227286,0.605498,0.002786,4.963812
20091208,1143.4,4061.5394,-1.267598,,,0.1999,1.0,,-75.850556,0.602994,0.003206,4.940633
20091215,1123.0,4489.6573,-1.385815,,,0.1999,1.0,,-75.431476,0.600104,0.00365,4.914863
20091222,1086.7,4618.9278,-1.44706,,,0.1999,1.0,,-75.014673,0.597137,0.004059,4.889247
20091229,1098.1,4619.1741,-1.436677,,,0.1999,1.0,,-74.615821,0.594273,0.004442,4.864737
20100105,1118.7,4702.7276,-1.436018,-1.4729,-0.0059,0.1999,1.0,-0.2944,-74.217197,0.591446,0.004843,4.840237
20100112,1129.4,4506.2982,-1.383831,-1.2726,-0.0051,0.1999,1.0,-0.2544,-73.852083,0.588822,0.0052,4.817801
20100119,1140.0,4700.5672,-1.416697,-1.3409,-0.0053,0.1999,1.0,-0.268,-73.473587,0.586127,0.005585,4.794539
20100126,1098.3,4680.5984,-1.449705,-1.4058,-0.0056,0.1999,1.0,-0.281,-73.098217,0.583483,0.005975,4.771465
20100202,1118.0,4999.0578,-1.497751,-1.5112,-0.006,0.1998,1.0,-0.302,-72.703649,0.580681,0.006389,4.747214
20100209,1077.2,4827.9845,-1.500107,-1.4756,-0.0059,0.1998,1.0,-0.2949,-72.330284,0.578081,0.006785,4.724259
20100216,1119.8,4668.7822,-1.427791,-1.2268,-0.0049,0.1998,1.0,-0.2451,-71.98295,0.575696,0.007161,4.7029
20100223,1103.2,4720.0846,-1.453655,-1.2757,-0.0051,0.1997,1.0,-0.2548,-71.633269,0.57332,0.007544,4.681393
20100302,1137.4,4798.0521,-1.439508,-1.2076,-0.0048,0.1997,1.0,-0.2412,-71.281355,0.570965,0.007948,4.659743
20100309,1122.3,4923.2748,-1.478636,-1.2955,-0.0052,0.1997,1.0,-0.2587,-70.921201,0.568511,0.00835,4.637593
20100316,1122.5,4968.6355,-1.487629,-1.2935,-0.0052,0.1996,1.0,-0.2582,-70.555065,0.566033,0.008772,4.615072
20100323,1103.7,4797.6385,-1.469498,-1.2152,-0.0048,0.1996,1.0,-0.2426,-70.209106,0.563697,0.009165,4.593792
20100330,1105.7,4851.2996,-1.478811,-1.2182,-0.0049,0.1996,1.0,-0.2432,-69.870211,0.561376,0.009532,4.572951
20100406,1136.0,5216.9994,-1.524451,-1.3235,-0.0053,0.1995,1.0,-0.2641,-69.50865,0.558868,0.009924,4.550721
20100413,1153.4,5304.4371,-1.525872,-1.3003,-0.0052,0.1995,1.0,-0.2594,-69.141694,0.556329,0.010335,4.528158
20100420,1139.2,5357.4134,-1.548197,-1.3367,-0.0053,0.1995,1.0,-0.2667,-68.771839,0.55377,0.010753,4.505417
20100427,1162.2,5269.1853,-1.511604,-1.2085,-0.0048,0.1995,1.0,-0.2411,-68.418295,0.551339,0.01116,4.483676
20100504,1169.2,5288.1238,-1.509187,-1.1806,-0.0047,0.1995,1.0,-0.2355,-68.067177,0.548946,0.011574,4.462082
20100511,1220.3,5008.8135,-1.412145,-0.8939,-0.0036,0.1995,1.0,-0.1783,-67.751298,0.546822,0.01195,4.442651
20100518,1214.6,4976.1556,-1.410286,-0.8775,-0.0035,0.1995,1.0,-0.175,-67.432754,0.544756,0.012355,4.423045
20100525,1198.0,4474.2462,-1.317729,-0.6115,-0.0024,0.1994,1.0,-0.122,-67.150625,0.543055,0.012741,4.405661
20100601,1226.9,4725.5248,-1.348532,-0.6911,-0.0028,0.1994,1.0,-0.1378,-66.850238,0.541182,0.013139,4.387162
20100608,1245.6,4531.565,-1.291494,-0.5256,-0.0021,0.1993,1.0,-0.1048,-66.566755,0.539454,0.013524,4.369698
20100615,1234.4,4652.0163,-1.326759,-0.6197,-0.0025,0.1993,1.0,-0.1235,-66.266576,0.537565,0.013917,4.351214
20100622,1240.8,4478.6741,-1.283614,-0.493,-0.002,0.1992,1.0,-0.0982,-65.974537,0.535748,0.014308,4.333229
20100629,1242.4,4131.334,-1.201599,-0.2579,-0.001,0.1992,1.0,-0.0514,-65.708255,0.534163,0.014683,4.316819
20100706,1195.1,3889.1748,-1.180011,-0.1949,-0.0008,0.1991,1.0,-0.0388,-65.445292,0.532661,0.015067,4.300604
20100713,1213.5,4258.4933,-1.25545,-0.4088,-0.0016,0.1991,1.0,-0.0814,-65.149122,0.530868,0.015474,4.282357
20100720,1191.7,3944.7288,-1.197043,-0.2383,-0.001,0.1991,1.0,-0.0474,-64.86979,0.529266,0.015882,4.265135
